,ts_code,trade_date,adj_factor
0,000001.SZ,20200212,109.169
1,000002.SZ,20200212,148.412
2,000004.SZ,20200212,4.064
3,000005.SZ,20200212,9.268
4,000006.SZ,20200212,35.426
5,000007.SZ,20200212,8.284
6,000008.SZ,20200212,22.333
7,000009.SZ,20200212,8.859
8,000010.SZ,20200212,10.775
9,000011.SZ,20200212,3.603
10,000012.SZ,20200212,26.405
11,000014.SZ,20200212,5.421
12,000016.SZ,20200212,21.685
13,000017.SZ,20200212,2.683
14,000019.SZ,20200212,4.11
15,000020.SZ,20200212,1.752
16,000021.SZ,20200212,14.002
17,000023.SZ,20200212,2.667
18,000025.SZ,20200212,2.731
19,000026.SZ,20200212,7.571
20,000027.SZ,20200212,13.536
21,000028.SZ,20200212,3.943
22,000029.SZ,20200212,2.202
23,000030.SZ,20200212,3.316
24,000031.SZ,20200212,14.224
25,000032.SZ,20200212,4.146
26,000034.SZ,20200212,3.014
27,000035.SZ,20200212,4.612
28,000036.SZ,20200212,10.994
29,000037.SZ,20200212,5.659
30,000038.SZ,20200212,2.924
31,000039.SZ,20200212,30.346
32,000040.SZ,20200212,4.349
33,000042.SZ,20200212,13.204
34,000045.SZ,20200212,2.928
35,000046.SZ,20200212,33.245
36,000048.SZ,20200212,6.079
37,000049.SZ,20200212,5.42
38,000050.SZ,20200212,8.323
39,000055.SZ,20200212,9.67
40,000056.SZ,20200212,4.708
41,000058.SZ,20200212,3.261
42,000059.SZ,20200212,1.623
43,000060.SZ,20200212,37.072
44,000061.SZ,20200212,21.313
45,000062.SZ,20200212,7.163
46,000063.SZ,20200212,15.787
47,000065.SZ,20200212,15.142
48,000066.SZ,20200212,10.813
49,000068.SZ,20200212,2.28
50,000069.SZ,20200212,40.462
51,000070.SZ,20200212,3.458
52,000078.SZ,20200212,20.484
53,000088.SZ,20200212,7.357
54,000089.SZ,20200212,7.018
55,000090.SZ,20200212,7.037
56,000096.SZ,20200212,2.65
57,000099.SZ,20200212,3.776
58,000100.SZ,20200212,3.094
59,000150.SZ,20200212,3.944
60,000151.SZ,20200212,2.753
61,000153.SZ,20200212,5.652
62,000155.SZ,20200212,1.568
63,000156.SZ,20200212,1.027
64,000157.SZ,20200212,71.013
65,000158.SZ,20200212,2.952
66,000159.SZ,20200212,3.193
67,000166.SZ,20200212,1.429
68,000301.SZ,20200212,2.247
69,000333.SZ,20200212,4.513
70,000338.SZ,20200212,19.422
71,000400.SZ,20200212,7.638
72,000401.SZ,20200212,3.936
73,000402.SZ,20200212,35.734
74,000403.SZ,20200212,4.217
75,000404.SZ,20200212,3.317
76,000407.SZ,20200212,10.883
77,000408.SZ,20200212,5.675
78,000409.SZ,20200212,2.15
79,000410.SZ,20200212,2.889
80,000411.SZ,20200212,2.563
81,000413.SZ,20200212,4.592
82,000415.SZ,20200212,20.919
83,000416.SZ,20200212,9.569
84,000417.SZ,20200212,17.193
85,000419.SZ,20200212,14.481
86,000420.SZ,20200212,6.352
87,000421.SZ,20200212,6.854
88,000422.SZ,20200212,14.787
89,000423.SZ,20200212,10.069
90,000425.SZ,20200212,38.052
91,000426.SZ,20200212,16.932
92,000428.SZ,20200212,12.139
93,000429.SZ,20200212,3.553
94,000430.SZ,20200212,4.612
95,000488.SZ,20200212,9.281
96,000498.SZ,20200212,2.757
97,000501.SZ,20200212,6.584
98,000502.SZ,20200212,3.113
99,000503.SZ,20200212,7.615
100,000504.SZ,20200212,2.103
101,000505.SZ,20200212,3.312
102,000506.SZ,20200212,2.872
103,000507.SZ,20200212,4.518
104,000509.SZ,20200212,9.746
105,000510.SZ,20200212,10.422
106,000513.SZ,20200212,8.171
107,000514.SZ,20200212,4.32
108,000516.SZ,20200212,39.873
109,000517.SZ,20200212,12.884
110,000518.SZ,20200212,8.377
111,000519.SZ,20200212,7.901
112,000520.SZ,20200212,6.855
113,000521.SZ,20200212,5.133
114,000523.SZ,20200212,6.665
115,000524.SZ,20200212,4.831
116,000525.SZ,20200212,7.524
117,000526.SZ,20200212,2.471
118,000528.SZ,20200212,11.447
119,000529.SZ,20200212,3.123
120,000530.SZ,20200212,9.774
121,000531.SZ,20200212,12.228
122,000532.SZ,20200212,4.407
123,000533.SZ,20200212,2.258
124,000534.SZ,20200212,4.157
125,000536.SZ,20200212,3.673
126,000537.SZ,20200212,5.975
127,000538.SZ,20200212,17.639
128,000539.SZ,20200212,17.55
129,000540.SZ,20200212,80.895
130,000541.SZ,20200212,28.905
131,000543.SZ,20200212,4.493
132,000544.SZ,20200212,3.383
133,000545.SZ,20200212,4.252
134,000546.SZ,20200212,1.814
135,000547.SZ,20200212,10.532
136,000548.SZ,20200212,3.536
137,000550.SZ,20200212,3.101
138,000551.SZ,20200212,7.726
139,000552.SZ,20200212,6.567
140,000553.SZ,20200212,4.182
141,000554.SZ,20200212,4.896
142,000555.SZ,20200212,3.133
143,000557.SZ,20200212,7.328
144,000558.SZ,20200212,5.957
145,000559.SZ,20200212,33.628
146,000560.SZ,20200212,5.202
147,000561.SZ,20200212,2.52
148,000563.SZ,20200212,17.192
149,000564.SZ,20200212,3.02
150,000565.SZ,20200212,7.555
151,000566.SZ,20200212,9.514
152,000567.SZ,20200212,4.748
153,000568.SZ,20200212,32.361
154,000570.SZ,20200212,4.499
155,000571.SZ,20200212,7.613
156,000572.SZ,20200212,4.656
157,000573.SZ,20200212,7.371
158,000576.SZ,20200212,6.187
159,000581.SZ,20200212,4.79
160,000582.SZ,20200212,4.79
161,000584.SZ,20200212,4.835
162,000585.SZ,20200212,1.277
163,000586.SZ,20200212,3.698
164,000587.SZ,20200212,12.655
165,000589.SZ,20200212,4.965
166,000590.SZ,20200212,4.764
167,000591.SZ,20200212,13.153
168,000592.SZ,20200212,6.375
169,000593.SZ,20200212,5.6
170,000595.SZ,20200212,4.958
171,000596.SZ,20200212,3.384
172,000597.SZ,20200212,3.215
173,000598.SZ,20200212,24.678
174,000599.SZ,20200212,4.868
175,000600.SZ,20200212,6.795
176,000601.SZ,20200212,9.897
177,000603.SZ,20200212,4.234
178,000605.SZ,20200212,3.543
179,000606.SZ,20200212,6.443
180,000607.SZ,20200212,3.762
181,000608.SZ,20200212,11.125
182,000609.SZ,20200212,6.029
183,000610.SZ,20200212,3.013
184,000611.SZ,20200212,4.596
185,000612.SZ,20200212,9.694
186,000613.SZ,20200212,1.43
187,000615.SZ,20200212,9.093
188,000616.SZ,20200212,28.319
189,000617.SZ,20200212,4.931
190,000619.SZ,20200212,9.196
191,000620.SZ,20200212,1.648
192,000622.SZ,20200212,2.525
193,000623.SZ,20200212,20.903
194,000625.SZ,20200212,7.803
195,000626.SZ,20200212,10.678
196,000627.SZ,20200212,27.37
197,000628.SZ,20200212,3.123
198,000629.SZ,20200212,7.789
199,000630.SZ,20200212,26.688
200,000631.SZ,20200212,17.793
201,000632.SZ,20200212,7.527
202,000633.SZ,20200212,7.479
203,000635.SZ,20200212,4.069
204,000636.SZ,20200212,17.34
205,000637.SZ,20200212,16.743
206,000638.SZ,20200212,4.42
207,000639.SZ,20200212,10.906
208,000650.SZ,20200212,21.222
209,000651.SZ,20200212,155.952
210,000652.SZ,20200212,27.284
211,000655.SZ,20200212,5.716
212,000656.SZ,20200212,6.535
213,000657.SZ,20200212,4.24
214,000659.SZ,20200212,16.527
215,000661.SZ,20200212,3.711
216,000662.SZ,20200212,6.043
217,000663.SZ,20200212,4.049
218,000665.SZ,20200212,5.734
219,000666.SZ,20200212,1.593
220,000667.SZ,20200212,25.348
221,000668.SZ,20200212,3.662
222,000669.SZ,20200212,3.651
223,000670.SZ,20200212,10.09
224,000671.SZ,20200212,31.274
225,000672.SZ,20200212,5.815
226,000673.SZ,20200212,11.508
227,000676.SZ,20200212,10.781
228,000677.SZ,20200212,18.3
229,000678.SZ,20200212,4.96
230,000679.SZ,20200212,5.763
231,000680.SZ,20200212,5.447
232,000681.SZ,20200212,5.03
233,000682.SZ,20200212,15.625
234,000683.SZ,20200212,7.556
235,000685.SZ,20200212,14.179
236,000686.SZ,20200212,12.883
237,000687.SZ,20200212,3.319
238,000688.SZ,20200212,4.947
239,000690.SZ,20200212,40.856
240,000691.SZ,20200212,3.055
241,000692.SZ,20200212,12.19
242,000695.SZ,20200212,2.55
243,000697.SZ,20200212,3.675
244,000698.SZ,20200212,3.031
245,000700.SZ,20200212,15.63
246,000701.SZ,20200212,1.726
247,000702.SZ,20200212,2.553
248,000703.SZ,20200212,6.896
249,000705.SZ,20200212,5.376
250,000707.SZ,20200212,3.038
251,000708.SZ,20200212,2.045
252,000709.SZ,20200212,10.128
253,000710.SZ,20200212,3.497
254,000711.SZ,20200212,9.759
255,000712.SZ,20200212,13.151
256,000713.SZ,20200212,4.448
257,000715.SZ,20200212,4.922
258,000716.SZ,20200212,3.766
259,000717.SZ,20200212,4.493
260,000718.SZ,20200212,7.417
261,000719.SZ,20200212,4.328
262,000720.SZ,20200212,7.26
263,000721.SZ,20200212,4.69
264,000722.SZ,20200212,3.883
265,000723.SZ,20200212,6.703
266,000725.SZ,20200212,4.859
267,000726.SZ,20200212,7.937
268,000727.SZ,20200212,5.635
269,000728.SZ,20200212,2.292
270,000729.SZ,20200212,8.086
271,000731.SZ,20200212,11.2
272,000732.SZ,20200212,4.428
273,000733.SZ,20200212,2.197
274,000735.SZ,20200212,5.83
275,000736.SZ,20200212,2.271
276,000737.SZ,20200212,3.636
277,000738.SZ,20200212,1.794
278,000739.SZ,20200212,12.169
279,000750.SZ,20200212,12.49
280,000751.SZ,20200212,3.371
281,000752.SZ,20200212,4.771
282,000753.SZ,20200212,10.74
