,ts_code,trade_date,adj_factor
0,000001.SZ,20200108,109.169
1,000002.SZ,20200108,148.412
2,000004.SZ,20200108,4.064
3,000005.SZ,20200108,9.268
4,000006.SZ,20200108,35.426
5,000007.SZ,20200108,8.284
6,000008.SZ,20200108,22.333
7,000009.SZ,20200108,8.859
8,000010.SZ,20200108,10.775
9,000011.SZ,20200108,3.603
10,000012.SZ,20200108,26.405
11,000014.SZ,20200108,5.421
12,000016.SZ,20200108,21.685
13,000017.SZ,20200108,2.683
14,000019.SZ,20200108,4.11
15,000020.SZ,20200108,1.752
16,000021.SZ,20200108,14.002
17,000023.SZ,20200108,2.667
18,000025.SZ,20200108,2.731
19,000026.SZ,20200108,7.571
20,000027.SZ,20200108,13.536
21,000028.SZ,20200108,3.943
22,000029.SZ,20200108,2.202
23,000030.SZ,20200108,3.316
24,000031.SZ,20200108,14.224
25,000032.SZ,20200108,4.146
26,000034.SZ,20200108,3.014
27,000035.SZ,20200108,4.612
28,000036.SZ,20200108,10.994
29,000037.SZ,20200108,5.659
30,000038.SZ,20200108,2.924
31,000039.SZ,20200108,30.346
32,000040.SZ,20200108,4.349
33,000042.SZ,20200108,13.204
34,000045.SZ,20200108,2.928
35,000046.SZ,20200108,33.245
36,000048.SZ,20200108,6.079
37,000049.SZ,20200108,5.42
38,000050.SZ,20200108,8.323
39,000055.SZ,20200108,9.67
40,000056.SZ,20200108,4.708
41,000058.SZ,20200108,3.261
42,000059.SZ,20200108,1.623
43,000060.SZ,20200108,37.072
44,000061.SZ,20200108,21.313
45,000062.SZ,20200108,7.163
46,000063.SZ,20200108,15.787
47,000065.SZ,20200108,15.142
48,000066.SZ,20200108,10.813
49,000068.SZ,20200108,2.28
50,000069.SZ,20200108,40.462
51,000070.SZ,20200108,3.458
52,000078.SZ,20200108,20.484
53,000088.SZ,20200108,7.357
54,000089.SZ,20200108,7.018
55,000090.SZ,20200108,7.037
56,000096.SZ,20200108,2.65
57,000099.SZ,20200108,3.776
58,000100.SZ,20200108,3.094
59,000150.SZ,20200108,3.944
60,000151.SZ,20200108,2.753
61,000153.SZ,20200108,5.652
62,000155.SZ,20200108,1.568
63,000156.SZ,20200108,1.027
64,000157.SZ,20200108,71.013
65,000158.SZ,20200108,2.952
66,000159.SZ,20200108,3.193
67,000166.SZ,20200108,1.429
68,000301.SZ,20200108,2.247
69,000333.SZ,20200108,4.513
70,000338.SZ,20200108,19.422
71,000400.SZ,20200108,7.638
72,000401.SZ,20200108,3.936
73,000402.SZ,20200108,35.734
74,000403.SZ,20200108,4.217
75,000404.SZ,20200108,3.317
76,000407.SZ,20200108,10.883
77,000408.SZ,20200108,5.675
78,000409.SZ,20200108,2.15
79,000410.SZ,20200108,2.889
80,000411.SZ,20200108,2.563
81,000413.SZ,20200108,4.592
82,000415.SZ,20200108,20.919
83,000416.SZ,20200108,9.569
84,000417.SZ,20200108,17.193
85,000419.SZ,20200108,14.481
86,000420.SZ,20200108,6.352
87,000421.SZ,20200108,6.854
88,000422.SZ,20200108,14.787
89,000423.SZ,20200108,10.069
90,000425.SZ,20200108,38.052
91,000426.SZ,20200108,16.932
92,000428.SZ,20200108,12.139
