,ts_code,trade_date,adj_factor
0,000001.SZ,20200525,109.169
1,000002.SZ,20200525,148.412
2,000004.SZ,20200525,4.064
3,000005.SZ,20200525,9.268
4,000006.SZ,20200525,35.426
5,000007.SZ,20200525,8.284
6,000008.SZ,20200525,22.333
7,000009.SZ,20200525,8.859
8,000010.SZ,20200525,10.775
9,000011.SZ,20200525,3.751
10,000012.SZ,20200525,26.405
11,000014.SZ,20200525,5.421
12,000016.SZ,20200525,21.685
13,000017.SZ,20200525,2.683
14,000019.SZ,20200525,4.11
15,000020.SZ,20200525,1.752
16,000021.SZ,20200525,14.002
17,000023.SZ,20200525,2.667
18,000025.SZ,20200525,2.731
19,000026.SZ,20200525,7.571
20,000027.SZ,20200525,13.536
21,000028.SZ,20200525,3.943
22,000030.SZ,20200525,3.316
23,000031.SZ,20200525,14.224
24,000032.SZ,20200525,4.146
25,000034.SZ,20200525,3.042
26,000035.SZ,20200525,4.612
27,000036.SZ,20200525,10.994
28,000037.SZ,20200525,5.668
29,000038.SZ,20200525,2.924
30,000039.SZ,20200525,30.346
31,000040.SZ,20200525,4.349
32,000042.SZ,20200525,13.204
33,000045.SZ,20200525,2.928
34,000046.SZ,20200525,33.245
35,000048.SZ,20200525,6.079
36,000049.SZ,20200525,5.42
37,000050.SZ,20200525,8.323
38,000055.SZ,20200525,9.67
39,000056.SZ,20200525,4.708
40,000058.SZ,20200525,3.261
41,000059.SZ,20200525,1.701
42,000060.SZ,20200525,37.808
43,000061.SZ,20200525,21.313
44,000062.SZ,20200525,7.249
45,000063.SZ,20200525,15.787
46,000065.SZ,20200525,15.142
47,000066.SZ,20200525,10.813
48,000068.SZ,20200525,2.28
49,000069.SZ,20200525,40.462
50,000070.SZ,20200525,3.458
51,000078.SZ,20200525,20.484
52,000088.SZ,20200525,7.357
53,000089.SZ,20200525,7.018
54,000090.SZ,20200525,7.037
55,000096.SZ,20200525,2.65
56,000099.SZ,20200525,3.776
57,000100.SZ,20200525,3.168
58,000150.SZ,20200525,3.944
59,000151.SZ,20200525,2.753
60,000153.SZ,20200525,5.652
61,000155.SZ,20200525,1.568
62,000156.SZ,20200525,1.027
63,000157.SZ,20200525,71.013
64,000158.SZ,20200525,2.952
65,000159.SZ,20200525,3.193
66,000166.SZ,20200525,1.429
67,000301.SZ,20200525,2.293
68,000333.SZ,20200525,4.513
69,000338.SZ,20200525,19.422
70,000400.SZ,20200525,7.638
71,000401.SZ,20200525,3.936
72,000402.SZ,20200525,35.734
73,000403.SZ,20200525,4.217
74,000404.SZ,20200525,3.317
75,000407.SZ,20200525,10.883
76,000408.SZ,20200525,5.675
77,000409.SZ,20200525,2.15
78,000410.SZ,20200525,2.889
79,000411.SZ,20200525,2.563
80,000413.SZ,20200525,4.592
81,000415.SZ,20200525,20.919
82,000416.SZ,20200525,9.637
83,000417.SZ,20200525,17.193
84,000419.SZ,20200525,14.481
85,000420.SZ,20200525,6.352
86,000421.SZ,20200525,6.854
87,000422.SZ,20200525,14.787
88,000423.SZ,20200525,10.069
89,000425.SZ,20200525,38.052
90,000426.SZ,20200525,16.932
91,000428.SZ,20200525,12.139
92,000429.SZ,20200525,3.553
93,000430.SZ,20200525,4.612
94,000488.SZ,20200525,9.281
95,000498.SZ,20200525,2.757
96,000501.SZ,20200525,6.584
97,000502.SZ,20200525,3.113
98,000503.SZ,20200525,7.615
99,000504.SZ,20200525,2.103
100,000505.SZ,20200525,3.312
101,000506.SZ,20200525,2.872
102,000507.SZ,20200525,4.518
103,000509.SZ,20200525,9.746
104,000510.SZ,20200525,10.422
105,000513.SZ,20200525,8.171
106,000514.SZ,20200525,4.32
107,000516.SZ,20200525,39.873
108,000517.SZ,20200525,12.884
109,000518.SZ,20200525,8.377
110,000519.SZ,20200525,7.901
111,000520.SZ,20200525,6.855
112,000521.SZ,20200525,5.133
113,000523.SZ,20200525,6.665
114,000524.SZ,20200525,4.831
115,000525.SZ,20200525,7.524
116,000526.SZ,20200525,2.471
117,000528.SZ,20200525,11.447
118,000529.SZ,20200525,3.123
119,000530.SZ,20200525,9.774
120,000531.SZ,20200525,12.228
121,000532.SZ,20200525,4.407
122,000533.SZ,20200525,2.258
123,000534.SZ,20200525,4.157
124,000536.SZ,20200525,3.673
125,000537.SZ,20200525,5.975
126,000538.SZ,20200525,17.639
127,000539.SZ,20200525,17.55
128,000540.SZ,20200525,80.895
129,000541.SZ,20200525,28.905
130,000543.SZ,20200525,4.493
131,000544.SZ,20200525,3.511
132,000545.SZ,20200525,4.252
133,000546.SZ,20200525,1.814
134,000547.SZ,20200525,10.532
135,000548.SZ,20200525,3.536
136,000550.SZ,20200525,3.101
137,000551.SZ,20200525,7.726
138,000552.SZ,20200525,6.567
139,000553.SZ,20200525,4.182
140,000554.SZ,20200525,4.896
141,000555.SZ,20200525,3.133
142,000557.SZ,20200525,7.328
143,000558.SZ,20200525,5.957
144,000559.SZ,20200525,33.628
